@relation estudiantes

@attribute Documento numeric
@attribute ID_Estudiante numeric
@attribute Edad numeric
@attribute Género {Masculino, Femenino, Otro}
@attribute Horas_Estudio_Semanal numeric
@attribute Asistencia numeric
@attribute Promedio_Parciales numeric
@attribute Participación_Clases {Baja, Media, Alta}
@attribute Uso_Plataforma_Virtual {Bajo, Medio, Alto}
@attribute Antecedentes_Pérdida {Sí, No}
@attribute Apoyo_Familiar {Bajo, Medio, Alto}
@attribute Carga_Académica numeric
@attribute Problemas_Personales {Ninguno, Leves, Graves}
@attribute Perderá_Asignatura {tested_positive, tested_negative}

@data
91503778,1,17,Otro,7,93.66,3.79,Baja,Medio,No,Medio,2,Ninguno,tested_negative
37742372,2,12,Masculino,8,88.97,2.91,Alta,Bajo,Sí,Bajo,5,Graves,tested_positive
20044405,3,13,Femenino,21,85.43,3.5,Baja,Alto,Sí,Medio,5,Ninguno,tested_negative
43070558,4,16,Femenino,11,86.01,3.68,Alta,Medio,No,Bajo,2,Ninguno,tested_negative
16392294,5,12,Femenino,10,100.0,3.38,Baja,Alto,Sí,Alto,5,Leves,tested_negative
41991492,6,14,Otro,2,75.33,1.81,Baja,Medio,No,Medio,4,Graves,tested_positive
41672561,7,17,Otro,7,92.2,3.4,Baja,Medio,Sí,Bajo,4,Ninguno,tested_negative
43757740,8,14,Femenino,22,93.3,3.32,Alta,Alto,No,Alto,4,Leves,tested_negative
49052020,9,13,Masculino,23,91.16,3.99,Media,Bajo,Sí,Medio,3,Ninguno,tested_negative
36539369,10,10,Otro,10,69.76,3.62,Media,Medio,No,Medio,3,Graves,tested_negative
10098719,11,15,Otro,10,65.54,2.94,Baja,Alto,No,Bajo,1,Leves,tested_negative
93885417,12,18,Femenino,6,82.85,3.59,Baja,Medio,Sí,Alto,5,Graves,tested_negative
91417891,13,14,Otro,19,96.59,3.81,Alta,Medio,No,Bajo,1,Leves,tested_negative
84359514,14,18,Otro,12,85.94,3.0,Media,Medio,Sí,Medio,4,Graves,tested_negative
23849693,15,11,Femenino,4,86.31,2.32,Media,Alto,Sí,Alto,1,Ninguno,tested_negative
67260670,16,14,Otro,22,90.11,3.21,Baja,Alto,No,Medio,1,Ninguno,tested_negative
81391746,17,10,Masculino,16,88.93,3.81,Baja,Alto,No,Alto,4,Leves,tested_negative
86395231,18,12,Otro,8,84.79,3.37,Alta,Medio,Sí,Alto,3,Leves,tested_negative
71855839,19,16,Otro,8,87.11,2.75,Media,Bajo,Sí,Medio,3,Ninguno,tested_negative
39832892,20,17,Otro,12,76.78,3.14,Baja,Bajo,No,Bajo,5,Leves,tested_negative
48581932,21,17,Masculino,12,100.0,3.71,Alta,Bajo,Sí,Medio,1,Leves,tested_negative
99975676,22,18,Femenino,5,98.89,3.89,Baja,Medio,No,Medio,3,Graves,tested_negative
99868095,23,16,Femenino,23,90.22,4.04,Baja,Bajo,No,Bajo,1,Leves,tested_negative
43155591,24,18,Otro,2,78.81,2.97,Media,Medio,No,Alto,4,Graves,tested_negative
85240663,25,16,Masculino,10,73.53,3.16,Media,Medio,Sí,Alto,4,Leves,tested_negative
61290368,26,11,Femenino,16,76.51,3.61,Alta,Medio,Sí,Medio,1,Ninguno,tested_negative
63582677,27,10,Masculino,10,92.13,3.19,Media,Alto,No,Medio,5,Graves,tested_negative
90933786,28,13,Masculino,8,90.92,2.85,Baja,Bajo,Sí,Medio,5,Ninguno,tested_positive
32874617,29,13,Otro,3,78.33,2.92,Media,Medio,No,Medio,3,Ninguno,tested_negative
